Time,Temperture
0,90
1,88.64
2,87.31
3,86.0
4,84.72
5,83.47
6,82.24
7,81.03
8,79.85
9,78.69
10,77.56
11,76.45
12,75.36
13,74.29
14,73.25
15,72.22
16,71.22
17,70.23
18,69.27
19,68.32
20,67.4
21,66.49
22,65.6
23,64.73
24,63.87
25,63.04
26,62.21
27,61.41
28,60.62
29,59.85
30,59.09
31,58.35
32,57.62
33,56.91
34,56.21
35,55.53
36,54.86
37,54.2
38,53.56
39,52.93
40,52.31
41,51.7
42,51.11
43,50.53
44,49.95
45,49.4
46,48.85
47,48.31
48,47.78
49,47.27
50,46.76
51,46.27
52,45.78
53,45.31
54,44.84
55,44.38
56,43.94
57,43.5
58,43.07
59,42.65
60,42.23
61,41.83
62,41.43
63,41.04
64,40.66
65,40.29
66,39.92
67,39.57
68,39.21
69,38.87
70,38.53
71,38.2
72,37.88
73,37.56
74,37.25
75,36.94
76,36.65
77,36.35
78,36.07
79,35.78
80,35.51
81,35.24
82,34.97
83,34.71
84,34.46
85,34.21
86,33.97
87,33.73
88,33.49
89,33.26
90,33.04
91,32.82
92,32.6
93,32.39
94,32.18
95,31.98
96,31.78
97,31.58
98,31.39
99,31.2
100,31.02
101,30.84
102,30.66
103,30.49
104,30.32
105,30.15
106,29.99
107,29.83
108,29.67
109,29.52
110,29.37
111,29.22
112,29.08
113,28.94
114,28.8
115,28.66
116,28.53
117,28.4
118,28.27
119,28.14
120,28.02
121,27.9
122,27.78
123,27.67
124,27.55
125,27.44
126,27.33
127,27.23
128,27.12
129,27.02
130,26.92
131,26.82
132,26.72
133,26.63
134,26.54
135,26.45
136,26.36
137,26.27
138,26.19
139,26.1
140,26.02
141,25.94
142,25.86
143,25.78
144,25.71
145,25.63
146,25.56
147,25.49
148,25.42
149,25.35
150,25.28
151,25.22
152,25.15
153,25.09
154,25.03
155,24.97
156,24.91
157,24.85
158,24.79
159,24.74
160,24.68
161,24.63
162,24.58
163,24.53
164,24.48
165,24.43
166,24.38
167,24.33
168,24.28
169,24.24
170,24.19
171,24.15
172,24.11
173,24.06
174,24.02
175,23.98
176,23.94
177,23.9
178,23.87
179,23.83
180,23.79
181,23.76
182,23.72
183,23.69
184,23.65
185,23.62
186,23.59
187,23.56
188,23.52
189,23.49
190,23.46
191,23.43
192,23.41
193,23.38
194,23.35
195,23.32
196,23.3
197,23.27
198,23.25
199,23.22
200,23.2
201,23.17
202,23.15
203,23.13
204,23.1
205,23.08
206,23.06
207,23.04
208,23.02
209,23.0
210,22.98
211,22.96
212,22.94
213,22.92
214,22.9
215,22.88
216,22.87
217,22.85
218,22.83
219,22.81
220,22.8
221,22.78
222,22.77
223,22.75
224,22.74
225,22.72
226,22.71
227,22.69
228,22.68
229,22.67
230,22.65
231,22.64
232,22.63
233,22.61
234,22.6
235,22.59
236,22.58
237,22.57
238,22.56
239,22.54
240,22.53
241,22.52
242,22.51
243,22.5
244,22.49
245,22.48
246,22.47
247,22.46
248,22.45
249,22.44
